furnaceheat,airflow,blower,sp,inducer,watts,notes
40,330,354,0.09,1800,71,
100,906,627,0.3,2720,313,
100,906,780,0.31,2720,318,
100,906,748,0.25,2700,283,reopen vents downstairs
100,906,747,0.25,2685,286,
97,863,724,0.22,2685,253,
97,863,704,0.21,2705,251,
93,809,658,0.18,2700,215,
88,744,635,0.22,2560,185,
88,744,614,0.17,2430,186,
84,690,582,0.16,2410,166,
84,690,584,0.16,2430,169,
80,640,534,0.13,2460,141,
75,571,493,0.12,2460,121,
70,514,462,0.11,2445,110,
65,478,434,0.1,2260,97,
59,433,403,0.09,2215,90,
52,382,377,0.09,2270,82,
45,330,355,0.08,1975,75,
45,330,351,0.08,2020,73,
40,330,350,0.08,1800,70,
47,345,359,0.09,2120,78,
48,352,362,0.09,2170,80,
47,345,360,0.09,2120,78,
46,338,356,0.09,2110,76,
44,330,352,0.09,2010,74,
41,330,352,0.08,1855,71,
61,448,417,0.1,2285,93,
59,433,406,0.1,2255,91,
52,382,375,0.09,2265,82,
47,345,363,0.09,2095,78,
45,330,353,0.09,2030,74,
44,330,352,0.09,1955,73,
40,330,353,0.09,1795,70,
40,330,353,0.09,1840,71,
40,330,355,0.09,1790,73,
57,,,,,88,
